品种代码,品种名称,纳入日期
605588,冠石科技,2022-08-12
688779,长远锂科,2022-08-11
605589,圣泉集团,2022-08-10
688148,芳源股份,2022-08-08
688778,厦钨新能,2022-08-05
688385,复旦微电,2022-08-04
688670,金迪克,2022-08-02
605507,国邦医药,2022-08-02
688509,正元地信,2022-08-01
688071,华依科技,2022-07-29
688718,唯赛勃,2022-07-28
688296,和达科技,2022-07-27
605167,利柏特,2022-07-26
688768,容知日新,2022-07-26
601921,浙版传媒,2022-07-25
688800,瑞可达,2022-07-22
688303,大全能源,2022-07-22
605365,立达信,2022-07-20
605056,咸亨国际,2022-07-20
688501,青达环保,2022-07-18
688793,倍轻松,2022-07-15
688038,中科通达,2022-07-13
688799,华纳药厂,2022-07-13
605028,世茂能源,2022-07-12
605020,永和股份,2022-07-11
601113,华鼎股份,2022-07-11
688305,科德数控,2022-07-11
688087,英科再生,2022-07-11
688789,宏华数科,2022-07-08
605162,新中港,2022-07-07
688226,威腾电气,2022-07-07
605287,德才股份,2022-07-06
688239,航宇科技,2022-07-05
688499,利元亨,2022-07-01
688161,威高骨科,2022-06-30
603171,税友股份,2022-06-30
605011,杭州热电,2022-06-30
688367,工大高科,2022-06-28
688601,力芯微,2022-06-28
688276,百克生物,2022-06-27
601528,瑞丰银行,2022-06-27
688690,纳微科技,2022-06-23
688216,气派科技,2022-06-23
688425,铁建重工,2022-06-22
688621,阳光诺和,2022-06-21
601665,齐鲁银行,2022-06-20
688517,金冠电气,2022-06-20
688597,煜邦电力,2022-06-17
688681,科汇股份,2022-06-16
688067,爱威科技,2022-06-16
688700,东威科技,2022-06-15
603529,爱玛科技,2022-06-15
605259,绿田机械,2022-06-15
600319,亚星化学,2022-06-13
601020,华钰矿业,2022-06-13
600506,香梨股份,2022-06-13
600301,南化股份,2022-06-13
600408,安泰集团,2022-06-13
600721,百花医药,2022-06-13
600084,中葡股份,2022-06-13
600595,中孚实业,2022-06-13
603032,德新交运,2022-06-13
603729,龙韵股份,2022-06-13
600593,大连圣亚,2022-06-13
688345,博力威,2022-06-13
600905,三峡能源,2022-06-10
601156,东航物流,2022-06-09
688269,凯立新材,2022-06-09
688131,皓元医药,2022-06-08
688319,欧林生物,2022-06-08
688625,呈和科技,2022-06-07
605319,无锡振华,2022-06-07
688117,圣诺生物,2022-06-06
603511,爱慕股份,2022-05-31
605296,神农集团,2022-05-30
688538,和辉光电,2022-05-30
605189,富春染织,2022-05-30
605499,东鹏饮料,2022-05-27
603836,海程邦达,2022-05-26
605090,九丰能源,2022-05-25
600032,浙江新能,2022-05-25
688359,三孚新科,2022-05-23
688613,奥精医疗,2022-05-23
688660,电气风电,2022-05-19
605339,南侨食品,2022-05-18
688314,康拓医疗,2022-05-18
688575,亚辉龙,2022-05-17
688217,睿昂基因,2022-05-17
600403,大有能源,2022-05-16
603863,松炀资源,2022-05-16
600198,大唐电信,2022-05-16
600300,维维股份,2022-05-16
688565,力源科技,2022-05-13
605488,福莱新材,2022-05-13
688685,迈信林航空股份,2022-05-13
688097,博众精工科技,2022-05-12
688355,明志科技,2022-05-12
688655,迅捷兴科技,2022-05-11
605196,华通线缆,2022-05-11
600906,财达证券,2022-05-09
605080,浙江自然,2022-05-06
605305,中际联合,2022-05-06
688113,联测科技,2022-05-06
605180,华生科技,2022-05-05
605300,佳禾食品,2022-05-05
688395,深圳正弦电气股份,2022-04-29
688323,瑞华泰薄膜科技,2022-04-28
688383,新益昌科技,2022-04-28
605089,味知香,2022-04-27
605289,罗曼股份,2022-04-26
688639,华恒生物,2022-04-22
605098,行动教育,2022-04-21
688201,信安世纪,2022-04-21
605016,百龙创园,2022-04-21
688682,霍莱沃,2022-04-20
605117,德业股份,2022-04-20
688533,上声电子,2022-04-19
605086,龙高股份,2022-04-18
601279,英利汽车,2022-04-15
688315,诺禾致源,2022-04-13
688663,新风光,2022-04-13
688611,杭州柯林,2022-04-12
605378,野马电池,2022-04-12
688683,莱尔科技,2022-04-12
603322,超讯通信,2022-04-11
688468,科美诊断,2022-04-11
688636,智明达,2022-04-08
688191,智洋创新,2022-04-08
603324,盛剑环境,2022-04-07
688260,昀冢科技,2022-04-06
688662,富信科技,2022-04-01
688630,芯��微装,2022-04-01
688626,翔宇医疗,2022-03-31
688659,元琛科技,2022-03-31
688109,品茗股份,2022-03-30
688661,和林微纳,2022-03-29
688329,艾隆科技,2022-03-29
603759,海天股份,2022-03-28
688195,腾景科技,2022-03-28
688606,奥泰生物,2022-03-25
688633,星球石墨,2022-03-24
688609,九联科技,2022-03-23
605389,长龄液压,2022-03-22
605286,同力日升,2022-03-22
688092,爱科科技,2022-03-21
688616,西力科技,2022-03-18
688456,有研粉材,2022-03-17
688316,青云科技,2022-03-16
688667,菱电电控,2022-03-14
688083,中望软件,2022-03-11
605122,四方新材,2022-03-10
688328,深科达,2022-03-09
688676,金盘科技,2022-03-09
605208,永茂泰,2022-03-08
688696,极米科技,2022-03-03
688079,美迪凯,2022-03-02
605298,必得科技,2022-03-01
605060,联德股份,2022-03-01
605303,园林股份,2022-03-01
688677,海泰新光,2022-02-28
688183,生益电子,2022-02-25
605133,嵘泰股份,2022-02-24
605268,王力安防,2022-02-24
688619,罗普特,2022-02-23
688070,纵横股份,2022-02-10
688665,四方光电,2022-02-09
605077,华康股份,2022-02-09
688059,华锐精密,2022-02-08
688687,凯因科技,2022-02-08
605337,李子园,2022-02-08
605368,蓝天燃气,2022-02-07
688607,康众医疗,2022-02-07
605055,迎丰股份,2022-02-07
688628,优利德,2022-02-07
601963,重庆银行,2022-02-07
600916,中国黄金,2022-02-07
688350,富淼科技,2022-01-28
688689,银河微电,2022-01-27
688669,聚石化学,2022-01-25
688680,海优新材,2022-01-24
605398,新炬网络,2022-01-21
605228,神通科技,2022-01-20
605005,合兴股份,2022-01-19
688819,天能股份,2022-01-18
688317,之江生物,2022-01-18
688656,浩欧博,2022-01-13
688617,惠泰医疗,2022-01-07
605277,新亚电子,2022-01-06
605155,西大门,2021-12-31
688686,奥普特,2021-12-31
688618,三旺通信,2021-12-30
688063,派能科技,2021-12-30
688698,伟创电气,2021-12-29
605179,一鸣食品,2021-12-28
605377,华旺科技,2021-12-28
688679,通源环境,2021-12-27
601956,东贝集团,2021-12-27
688658,悦康药业,2021-12-24
688560,明冠新材,2021-12-24
688678,福立旺,2021-12-23
